Uid	Len	ab|cd	ac|bd	ad|bc
664	0.0495704543	14343	1216	677
450	0.052633727	760	0	0
388	0.01011673	720	40	0
748	0.0119386664	92343	11027	9490
470	0.0684257499	8592	0	0
587	0.0455038636	12376	0	0
408	0.0353419997	760	0	0
464	0.0392696796	366	0	15
448	0.0029225058	2256	0	0
737	0.0140623006	12979	74	627
686	0.006464712	1807	129	332
527	0.0067569011	752	1	7
636	0.1164347223	2517	20	3431
407	0.003361408	2925	2311	0
568	0.0065308707	5906	1275	4787
661	0.0044610399	35505	8091	8236
555	0.0175809579	1768	500	0
709	0.0027120344	7360	290	1278
397	0.0922424635	359	1	21
712	0.0034572014	30638	8599	9615
695	0.0875317349	221	4	156
690	0.0147074088	754	2	4
665	0.0024423833	362461	164377	208750
538	0.0054874106	332	49	0
727	0.0096493265	21129	5127	24
655	0.0138269217	14682	11	931
713	0.0173209661	1958	302	8
634	0.0020298969	9077	3449	5090
616	0.0167258431	48465	0	0
645	0.1065186114	542	3	215
700	0.0286825481	360880	0	0
728	0.0019972099	13030	199	91
473	0.0649684457	1137	0	0
422	0.0021343215	1137	0	0
466	0.0650942081	1713	34	509
452	0.0194052831	381	0	0
691	0.0173209661	2251	3	14
595	0.0151955975	4503	17	4
762	0.1417704724	625804	312494	165375
588	0.0015306317	13902	8144	8950
522	0.0082537733	602	1	534
692	0.1309486348	357	0	24
491	0.0473101779	361	0	20
657	0.0684257499	16958	6658	7888
571	0.0187485044	759	0	1
557	0.0878031916	724	7	29
659	0.0035673681	107456	55410	12374
444	0.0553354816	1088	424	0
662	0.0035673681	205118	24394	110184
566	0.017904328	2877	0	139
459	0.0353419997	758	1	1
603	0.0024239627	25874	17452	5679
431	0.0799455293	1885	0	0
434	0.0722509511	381	0	0
453	0.00357048	2625	0	0
605	0.0046196545	204	177	0
666	0.0024423833	1750612	3684138	3554658
635	0.0066362053	6761	102	2462
706	0.0072737057	996	84	57
428	0.0449579957	739	0	21
582	0.0270176709	760	0	0
704	0.0182916783	593923	899506	54403
682	0.0265517245	760	0	0
673	0.0038584067	316017	138441	270370
546	0.0097108238	10416	0	0
457	0.0958724379	1516	0	0
723	0.0227889376	1536003	15582	735
732	0.1017192496	1644	3485	839
729	0.1335920946	2193	357	843
435	0.0315572318	5200	30	6
390	0.0247657327	3024	0	0
387	0.01011673	736	24	0
643	0.0059546665	35622	31806	4248
590	0.0304850355	381	0	0
446	0.0242675804	760	0	0
505	0.0067569011	760	0	0
494	0.0766534262	726	34	0
702	0.0096493265	42659	36	10
750	0.003915604	397580	67868	112472
708	0.006329872	3652	543	317
549	0.025265268	381	0	0
671	0.0101159623	3695	4	61
765	0.0021262529	1651459	9848981	4453176
622	0.0272120674	381	0	0
427	0.0498801723	1512	0	0
516	0.1103269356	381	0	0
475	0.0654035487	760	0	0
648	0.0860390902	13259	45	52
425	0.0535627346	381	0	0
441	0.0069144905	345	0	36
743	0.0046156598	43771	46848	30449
602	0.0062073626	7245	109	1646
560	0.0077175718	4284	14	499
486	0.0085106433	4876	2351	606
632	0.0116405049	8026	76	1466
614	0.109327895	379	2	0
495	0.1159750009	381	0	0
386	0.0247657327	1512	0	0
707	0.0284965564	29077	640	4363
701	0.006464712	621	490	1157
405	0.0050771868	785	351	1
705	0.1216634998	1489	6	21
669	0.0069893535	6814	237	449
420	0.0132460168	381	0	0
525	0.0191426848	1137	0	0
580	0.1177638225	1137	0	0
624	0.1372189824	2259	9	357
658	0.1223309118	1429	452	4
423	0.0353425141	337	35	9
756	0.0053661813	16509	8684	4487
463	0.052633727	760	0	0
569	0.0248325651	2268	0	0
544	0.000733193	2529	1552	0
467	0.0606407865	381	0	0
684	0.0059208141	22280	4675	405
462	0.0085106433	5931	37	0
644	0.0059546665	83475	6579	29406
731	0.007448647	1858	830	6264
401	0.0315572318	2991	0	1
442	0.0261053663	482	278	0
451	0.0116249286	379	0	2
583	0.00357048	2494	509	1497
537	0.0065410191	1536	20	712
547	0.0333902243	7500	0	0
722	0.0023525974	5707	1667	4498
536	0.0946636113	760	0	0
575	0.0187485044	758	0	2
545	0.0036998509	10180	41	3207
604	0.0024239627	7622	1781	3665
667	0.0038584067	7590469	2494951	601585
754	0.0053661813	6305	899	2813
577	0.0050064203	11730	16313	8657
638	0.0089280548	54955	1280	549
489	0.0529777273	760	0	0
710	0.016530899	759	1	0
396	0.0153165389	2811	1	204
507	0.1138478528	2992	0	0
421	0.0080781274	11269	2	4353
508	0.0022715915	195	4	182
493	0.0241222669	1516	0	0
714	0.0025838097	27033	99	4368
651	0.0026636041	28122	4784	6082
404	0.0050771868	1287	127	102
449	0.0034531481	591	59	110
640	0.0023418703	13658	872	11822
511	0.0036224909	730	3	27
745	0.0019972099	9030	723	5047
663	0.0140558775	814525	377972	1611759
591	0.0248325651	2268	0	0
438	0.1083052064	760	0	0
594	0.0032980959	36472	10703	12117
689	0.0238910888	56020	2	34
613	0.0194301359	1516	0	0
485	0.0883952933	3289	216	215
753	0.0058015576	688425	225221	103354
735	0.0058015576	819689	7984	11352
499	0.133276461	2256	0	0
726	0.007448647	7086	7	740
498	0.0082537733	1508	5	3
430	0.0800863798	7920	0	0
445	0.0270176709	760	0	0
751	0.0140623006	67536	54403	17597
409	0.0017239836	888	173	824
752	0.0227889376	572644	140343	124773
653	0.008099493	5270	922	13
539	0.0095227758	4476	5	31
512	0.0031654926	40025	29327	34616
717	0.0167258431	178821	593	86
607	0.1342273487	8257	0	0
530	0.1057017544	47514	1	5
455	0.005567522	376	3	2
542	0.008414179	1262	8	246
476	0.0081729887	6768	0	0
524	0.0076905079	2268	0	0
523	0.0146430456	2183	1	72
504	0.008414179	1137	0	0
573	0.0083006249	377	4	0
562	0.0023074878	1385	85	798
642	0.0066362053	3432	1362	4158
474	0.0534072015	1137	0	0
501	0.0146430456	3760	0	0
551	0.0076905079	1431	0	81
469	0.0873130926	2546	3410	12
619	0.0051199223	2022	71	175
676	0.0066444819	6727	206	4939
