Uid	Len	ab|cd	ac|bd	ad|bc
742	0.0223375982	6869	1987	0
450	0.0105778824	381	0	0
747	0.007173194	232114	12897	605
706	0.0857548273	1442	64	6
682	0.0058055864	4417	0	1088
678	0.0047021605	5961	7	0
548	0.0671198058	1385	846	761
503	0.0107072842	3039	354	0
663	0.0977215036	381	0	0
708	0.0026185497	7287	103	90
391	0.0065066436	5230	6	0
707	0.0384600722	14749	114	57
394	0.0024424817	1262	0	2458
689	0.0381574942	46463	40037	6956
544	0.0367328339	14760	0	0
724	0.0017721254	1488264	4539403	487724
535	0.009325013	2828	62	126
611	0.0032104591	7903	3511	8771
570	0.0401721246	294	0	87
662	0.0116297629	2578480	0	0
734	0.0720971215	13356	0	0
388	0.0221145487	3024	0	0
490	0.0007836736	1471	664	133
694	0.0191727202	569500	0	0
421	0.0239870716	381	0	0
459	0.0305274118	760	0	0
463	0.0354398583	2256	0	0
432	0.0405044894	378	3	0
679	0.002267788	12499	2694	603
636	0.0082352661	51832	0	8
723	0.0181366303	221520	0	0
472	0.007247215	760	0	0
445	0.0668611214	760	0	0
704	0.0235224246	5667	0	333
572	0.0340158982	759	1	0
606	0.0184661531	7420	0	0
601	0.0221448502	2329	551	1644
543	0.0040517038	40213	3107	0
475	0.0366128659	760	0	0
454	0.0026453065	2992	0	0
688	0.1186772272	2268	0	0
564	0.0780953624	1516	0	0
444	0.0097969838	1516	0	0
765	0.0008529825	290814	40645	33246
417	0.064506473	381	0	0
428	0.0277010248	380	1	0
554	0.001170063	445	27	288
605	0.0009054158	6409	1091	0
630	0.0055460222	9857	155	5
561	0.0058847966	1501	0	11
665	0.0013608017	97744	0	0
385	0.0221145487	1512	0	0
646	0.081123651	1516	0	0
488	0.0121446063	381	0	0
514	0.002472643	70600	0	0
686	0.0072658461	3739	0	21
727	0.1062077534	7729	26218	133
559	0.0014635748	1085	100	331
402	0.0404809137	1135	0	2
619	0.0087886901	527	233	0
596	0.0108933143	2395	236	4101
456	0.0418910056	380	0	1
598	0.0009046195	3371	610	4971
492	0.0164117807	834	682	0
489	0.0194010677	54900	0	0
757	0.0483326001	6759	7372	2105
603	0.0200243603	1609	21	1386
532	0.0367351306	225	0	156
412	0.0013473286	1137	0	0
464	0.0619620181	381	0	0
687	0.0284176778	63239	52166	6347
418	0.0464827597	2994	765	1
758	0.0013608017	129454	47715	13551
629	0.0178856528	15120	0	0
732	0.0066176104	16978	0	9446
641	0.0069911816	379	2	0
509	0.0664905777	3168	551	1
495	0.0022897055	378	3	0
534	0.0376014734	380	380	0
415	0.0020262429	667	4	1214
455	0.0284176846	5236	0	0
715	0.0055123363	8351568	7056577	6497368
618	0.0652434662	4956	0	280
467	0.0210482557	3760	0	0
733	0.0116297629	18431830	865	104569
670	0.0178856528	7523	206	191
502	0.0035497574	22310	251	6959
524	0.0221448502	1885	0	0
690	0.011773433	229824	0	0
746	0.0019805341	725820	201	23364
613	0.0223404833	11160	0	0
399	0.0371832698	381	0	0
505	0.0097877272	3016	0	0
600	0.0235224246	5625	0	0
702	0.0051628403	43067	7470	68
416	0.0379792304	1512	0	0
390	0.0029138502	372	1	8
579	0.0014579619	631	17	112
583	0.0483326001	4797	0	0
430	0.0484845075	2256	0	0
460	0.0164117807	1137	0	0
404	0.0303476246	760	0	0
571	0.0093076923	6552	0	0
705	0.0026232949	28536	7674	22270
568	0.0354398583	3757	0	3
648	0.0840427304	2236	3387	2
684	0.0149317665	6696	0	0
766	0.0008669991	5696257	119172	1060442
667	0.0158471142	33097	23	0
680	0.0078913214	1125	0	12
469	0.0514891587	379	0	2
659	0.013894235	5505	0	0
730	0.0105955099	738279	0	100208
487	0.005424185	21700	0	0
644	0.0028271381	707	427	3
623	0.0759075672	379	0	2
753	0.0019805341	3598070	380879	217850
760	0.0194304181	12587747	73	0
395	0.0181366303	29440	0	0
457	0.0625414972	1516	0	0
493	0.0641927461	5775	167	26
622	0.0013580306	233	145	3
718	0.0055123363	1567456	1247045	48774
608	0.0063714456	5223	9530	167
696	0.0011566823	149227	7580	6138
426	0.0064831538	759	0	1
526	0.0014452098	5996	305	4679
528	0.009325013	3391	0	2
477	0.0028635263	2256	0	0
471	0.0623772721	760	0	0
567	0.0033355047	3788	571	153
547	0.0381574942	9912	0	0
681	0.002472643	37789	1265	11778
763	0.0813456191	507	244	386
512	0.0439288497	760	0	0
389	0.0494317752	3016	0	0
586	0.0356971561	286	49	46
676	0.0041948144	40600	0	0
587	0.0078497784	1820	448	0
692	0.0072658461	4428	84	0
438	0.0316066615	381	0	0
539	0.002092465	11705	847	516
575	0.0019096521	359	1	21
743	0.0093345949	44137	0	23
485	0.0066109788	4512	0	0
569	0.0384600722	3357	0	0
560	0.0366128659	760	0	0
565	0.0074697661	12376	0	0
735	0.0105377095	7833	0	0
643	0.0793753333	757	1	2
439	0.0163893486	1516	0	0
482	0.040589707	381	0	0
446	0.0439288497	760	0	0
649	0.0046270104	1152	110	250
479	0.0107072842	3012	4	0
